アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間,最低高度,最高高度
トレッドミル,2026-02-11 18:19:20,false,"トレッドミル","0.05","32","00:02:11.4","155","166","1.0","41","138","44:55","12:46","--","--","0.59","19.5","11.0","402","左 50.8%／右 49.2%","--","57","0.0","45","171","74","--","--","いいえ","00:00:36.8","2","--","32","24","38","00:01:04","00:02:11.4","--","--"
トレッドミル,2026-02-11 17:46:25,false,"エリプティカル","5.03","346","00:23:40","154","167","3.3","206","235","4:42","3:38","--","--","1.02","2.3","2.3","269","左 49.3%／右 50.7%","--","264","0.0","245","402","4,336","-6","--","いいえ","00:00:46.5","2","--","44","19","54","00:23:17","00:23:40","--","--"
トレッドミル,2026-02-11 17:23:51,false,"トレッドミル","2.82","216","00:15:13","148","154","2.6","169","175","5:24","5:13","--","--","1.09","10.0","11.2","219","左 50.4%／右 49.6%","--","276","0.0","276","303","2,564","--","--","いいえ","00:15:13","1","--","35","22","42","00:15:13","00:15:13","--","--"
トレッドミル,2026-02-11 16:49:36,false,"トレッドミル","2.02","142","00:12:01","131","145","2.0","165","177","5:57","5:07","--","--","1.02","10.4","10.7","237","左 50.2%／右 49.8%","--","260","0.0","255","298","1,980","-3","--","いいえ","00:12:01","1","--","31","13","38","00:11:55","00:12:01","--","--"
トレッドミル,2026-02-09 12:58:55,false,"トレッドミル","5.28","354","00:30:10","132","142","2.4","169","178","5:43","5:16","--","--","1.04","10.2","10.8","234","左 50.4%／右 49.6%","--","267","0.0","266","296","5,078","-8","--","いいえ","00:30:10","1","--","36","22","45","00:30:09","00:30:10","--","--"
屋内ラン,2026-02-09 12:20:14,false,"トレッドミル","3.76","294","00:30:44","121","141","1.8","171","211","8:10","4:46","--","--","0.72","5.0","3.7","348","左 49.6%／右 50.4%","--","127","0.0","124","252","5,190","-14","--","いいえ","00:30:44","1","--","30","19","38","00:30:41","00:30:44","--","--"
トレッドミル,2026-02-08 16:19:13,false,"トレッドミル","4.00","274","00:22:11","133","148","2.4","171","179","5:33","4:39","--","--","1.14","9.1","10.6","230","左 50.3%／右 49.7%","--","284","0.0","283","309","3,772","-6","--","いいえ","00:10:10","2","--","36","19","45","00:22:10","00:22:11","--","--"
ラン,2026-02-07 19:43:51,false,"渋谷区 ラン","6.01","355","00:32:24","125","164","2.4","164","180","5:23","3:22","70","65","1.13","10.3","11.7","224","左 49.9%／右 50.1%","5:21","308","0.0","299","545","5,246","-4","18.0","いいえ","00:00:47.3","16","29.0","31","14","48","00:32:08","00:39:31","8","45"
トレッドミル,2026-02-05 13:30:55,false,"トレッドミル","4.72","479","00:45:25","129","162","2.5","96","188","9:37","4:31","--","--","1.14","8.4","9.6","264","--","--","236","0.0","149","319","4,464","-10","--","いいえ","00:05:00.2","4","--","--","--","--","00:25:00","00:45:29","--","--"
ラン,2026-02-04 04:46:48,false,"ラン","6.35","--","00:51:47","135","149","--","130","193","8:09","4:18","--","--","0.89","9.7","7.7","297","--","--","235","0.0","176","333","--","-12","--","いいえ","00:51:47","1","--","--","--","--","00:38:19","00:51:46","--","--"
トレッドミル,2026-02-04 04:35:48,false,"トレッドミル","1.87","109","00:09:39","127","133","2.7","167","177","5:10","4:46","--","--","1.16","8.4","9.8","266","--","--","283","0.0","279","315","--","-3","--","いいえ","00:09:39","1","--","--","--","--","00:09:39","00:11:00","--","--"
トレッドミル,2026-02-03 13:06:10,false,"トレッドミル","3.43","200","00:18:03","128","138","2.0","169","179","5:15","4:46","--","--","1.13","8.4","9.5","261","--","--","277","0.0","272","309","3,066","-4","--","いいえ","00:18:03","1","--","--","--","--","00:17:52","00:18:03","--","--"
